mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
153	153	1248	1248	4.0	1	1	Chord	4/2	21	1	1	1	1	1497										
153	153	1249	1249	0.0	5/4	5/4	FiguredBass	4/2	21	1	0											1/4	11	
153	153	1250	1250	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/4	11	
153	153	1251	1251	0.0	7/4	7/4	FiguredBass	4/2	21	1	0											1/4	10	
154	154	1252	1252	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1498	ne									
154	154	1255	1255	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1499	e									
154	154	1256	1256	1.5	1	1	Chord	4/2	4	1	3/8	1/4	3/2	1500	qual									
154	154	2515/2	2515/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1501	pound									
154	154	1258	1258	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1502	'il									
154	154	2519/2	2519/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1503	fi-									
154	154	1252	1252	4.0	0	0	Chord	4/2	21	1	1	1	1	1504										
154	154	1256	1256	4.0	1	1	Chord	4/2	21	1	1	1	1	1505										
155	155	1260	1260	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1506	-an-									
155	155	1262	1262	1.0	1/2	1/2	Chord	4/2	4	1	1/4	1/4	1	1507	-co									
155	155	1263	1263	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1508	fu									
155	155	1264	1264	1.0	1	1	Chord	4/2	4	1	1/4	1/4	1	1509	la-									
155	155	1265	1265	1.0	5/4	5/4	Chord	4/2	4	1	1/4	1/4	1	1510	-ho									
155	155	1266	1266	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1511	ri									
155	155	1260	1260	4.0	0	0	Chord	4/2	21	1	1	1	1	1512										
155	155	1264	1264	3.0	1	1	Chord	4/2	21	1	3/4	1/2	3/2	1513										
155	155	1267	1267	0.5	7/4	7/4	Chord	4/2	21	1	1/8	1/8	1	1514										
155	155	2535/2	2535/2	0.5	15/8	15/8	Chord	4/2	21	1	1/8	1/8	1	1515										
156	156	1268	1268	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	1516										
156	156	1269	1269	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	1517	ta									
156	156	1270	1270	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1518	fpon-									
156	156	1272	1272	4.0	1	1	Chord	4/2	4	1	1	1	1	1519	-da									
156	156	1268	1268	0.0	0	0	FiguredBass	4/2	21	1	0											1/4	10	
156	156	1268	1268	4.0	0	0	Chord	4/2	21	1	1	1	1	1520										
156	156	1269	1269	0.0	1/4	1/4	FiguredBass	4/2	21	1	0											1/4	11	
156	156	1270	1270	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	10	
156	156	1272	1272	4.0	1	1	Chord	4/2	21	1	1	1	1	1521										
157	157	1276	1276	3.0	0	0	Chord	4/2	4	1	3/4	1/2	3/2	1522	dol									
157	157	1279	1279	0.5	3/4	3/4	Chord	4/2	4	1	1/8	1/8	1	1523	ce									
157	157	2559/2	2559/2	0.5	7/8	7/8	Chord	4/2	4	1	1/8	1/8	1	1524	can-									
157	157	1280	1280	1.0	1	1	Chord	4/2	4	1	1/4	1/4	1	1525	-ta-									
157	157	1281	1281	1.0	5/4	5/4	Chord	4/2	4	1	1/4	1/4	1	1526	-ua									
157	157	2565/2	2565/2	0.5	13/8	13/8	Chord	4/2	4	1	1/8	1/8	1	1527	al									
157	157	1283	1283	0.5	7/4	7/4	Chord	4/2	4	1	1/8	1/8	1	1528	mor-									
157	157	2567/2	2567/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1529	-mo-									
157	157	1276	1276	4.0	0	0	Chord	4/2	21	1	1	1	1	1530										
157	157	1280	1280	4.0	1	1	Chord	4/2	21	1	1	1	1	1531										
158	158	1284	1284	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	1532	-rar									
158	158	1285	1285	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	1533	dell									
158	158	1286	1286	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1534	'on-									
158	158	1288	1288	4.0	1	1	Chord	4/2	4	1	1	1	1	1535	-da									
158	158	1284	1284	0.0	0	0	FiguredBass	4/2	21	1	0											1/4	10	
158	158	1284	1284	4.0	0	0	Chord	4/2	21	1	1	1	1	1536										
158	158	1285	1285	0.0	1/4	1/4	FiguredBass	4/2	21	1	0											1/4	11	
158	158	1286	1286	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	10	
158	158	1288	1288	4.0	1	1	Chord	4/2	21	1	1	1	1	1537										
159	159	1292	1292	3.0	0	0	Chord	4/2	4	1	3/4	1/2	3/2	1538	Ma									
159	159	1295	1295	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1539	la-									
159	159	1296	1296	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1540	-be-									
159	159	1298	1298	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1541	-lla									
159	159	2599/2	2599/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1542	Eu-									
159	159	1292	1292	8.0	0	0	Chord	4/2	21	1	2	2	1	1543										
160	160	1300	1300	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1544	-ri-									
160	160	1302	1302	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1545	-dice									
160	160	2609/2	2609/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1546	mouea									
160	160	1305	1305	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1547	dan-									
160	160	2611/2	2611/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1548	-zan-									
160	160	1306	1306	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1549	-do									
160	160	2615/2	2615/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1550	il									
160	160	1300	1300	8.0	0	0	Chord	4/2	21	1	2	2	1	1551										
161	161	1308	1308	3.0	0	0	Chord	4/2	4	1	3/4	1/2	3/2	1552	pie									
161	161	1311	1311	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1553	ful									
161	161	1312	1312	1.5	1	1	Chord	4/2	4	1	3/8	1/4	3/2	1554	ver-									
161	161	2627/2	2627/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1555	-de									
161	161	1314	1314	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1556	pra									
161	161	1308	1308	8.0	0	0	Chord	4/2	21	1	2	2	1	1557										
162	162	1316	1316	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1558	to									
162	162	1319	1319	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1559	Quad									
162	162	1320	1320	1.0	1	1	Chord	4/2	4	1	1/4	1/4	1	1560	'ahi									
162	162	1321	1321	1.0	5/4	5/4	Chord	4/2	4	1	1/4	1/4	1	1561	ria									
162	162	1322	1322	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1562	for-									
162	162	2647/2	2647/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1563	-tea									
162	162	1316	1316	8.0	0	0	Chord	4/2	21	1	2	2	1	1564										
163	163	1324	1324	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1565	cer-									
163	163	1326	1326	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1566	-ba									
163	163	1329	1329	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1567	An-									
163	163	2659/2	2659/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1568	-gue									
163	163	1330	1330	1.0	3/2	3/2	Chord	4/2	4	1	1/4	1/4	1	1569	cru-									
163	163	1331	1331	0.5	7/4	7/4	Chord	4/2	4	1	1/8	1/8	1	1570	-do,e									
163	163	2663/2	2663/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1571	fpie									
163	163	1324	1324	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
163	163	1324	1324	4.0	0	0	Chord	4/2	21	1	1	1	1	1572										
163	163	1328	1328	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
163	163	1328	1328	4.0	1	1	Chord	4/2	21	1	1	1	1	1573										
164	164	1332	1332	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1574	ta									
164	164	1334	1334	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1575	to									
164	164	1337	1337	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1576	Che									
164	164	2675/2	2675/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1577	ce-									
164	164	1338	1338	1.0	3/2	3/2	Chord	4/2	4	1	1/4	1/4	1	1578	-la									
164	164	1339	1339	0.5	7/4	7/4	Chord	4/2	4	1	1/8	1/8	1	1579	to									
164	164	2679/2	2679/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1580	gia-									
164	164	1332	1332	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
164	164	1332	1332	4.0	0	0	Chord	4/2	21	1	1	1	1	1581										
164	164	1336	1336	4.0	1	1	Chord	4/2	21	1	1	1	1	1582										
165	165	1340	1340	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1583	-cea									
165	165	1342	1342	1.0	1/2	1/2	Chord	4/2	4	1	1/4	1/4	1	1584	tra									
165	165	1343	1343	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1585	fio-									
165	165	1344	1344	0.5	1	1	Chord	4/2	4	1	1/8	1/8	1	1586										
165	165	2689/2	2689/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1587	-ri,									
165	165	1345	1345	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1588	e									
165	165	2691/2	2691/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1589	Per-									
165	165	1346	1346	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1590	-ba									
165	165	1340	1340	4.0	0	0	Chord	4/2	21	1	1	1	1	1591										
165	165	1344	1344	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	1592										
165	165	1346	1346	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	1593										
166	166	1348	1348	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	1594	Pun-									
166	166	1349	1349	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	1595	-fe									
166	166	1350	1350	0.5	1/2	1/2	Chord	4/2	4	1	1/8	1/8	1	1596										
166	166	2701/2	2701/2	0.5	5/8	5/8	Chord	4/2	4	1	1/8	1/8	1	1597	le									
166	166	1351	1351	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1598	il									
166	166	1352	1352	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1599	pie									
166	166	2709/2	2709/2	0.5	13/8	13/8	Chord	4/2	4	1	1/8	1/8	1	1600	con									
166	166	1355	1355	0.5	7/4	7/4	Chord	4/2	4	1	1/8	1/8	1	1601	fi									
166	166	2711/2	2711/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1602	ma									
166	166	1348	1348	4.0	0	0	Chord	4/2	21	1	1	1	1	1603										
166	166	1352	1352	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
166	166	1352	1352	4.0	1	1	Chord	4/2	21	1	1	1	1	1604										
167	167	1356	1356	1.5	0	0	Chord	4/2	4	1	3/8	1/4	3/2	1605	lig-									
167	167	2715/2	2715/2	0.5	3/8	3/8	Chord	4/2	4	1	1/8	1/8	1	1606	-no									
167	167	1358	1358	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1607	den-									
167	167	1360	1360	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1608	-te									
167	167	2725/2	2725/2	0.5	13/8	13/8	Chord	4/2	4	1	1/8	1/8	1	1609	Ch'im									
167	167	1363	1363	0.5	7/4	7/4	Chord	4/2	4	1	1/8	1/8	1	1610	pa-									
167	167	2727/2	2727/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1611	-li-									
167	167	1356	1356	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	#	
167	167	1356	1356	4.0	0	0	Chord	4/2	21	1	1	1	1	1612										
167	167	1358	1358	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	4	
167	167	1360	1360	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	#	
167	167	1360	1360	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	1613										
167	167	1362	1362	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	1614										
168	168	1364	1364	3.0	0	0	Chord	4/2	4	1	3/4	1/2	3/2	1615	-di									
168	168	1367	1367	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1616	re									
168	168	1368	1368	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1617	pen									
168	168	1370	1370	1.0	3/2	3/2	Chord	4/2	4	1	1/4	1/4	1	1618	te									
168	168	1371	1371	0.5	7/4	7/4	Chord	4/2	4	1	1/8	1/8	1	1619	co-									
168	168	2743/2	2743/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1620	-me									
168	168	1364	1364	4.0	0	0	Chord	4/2	21	1	1	1	1	1621										
168	168	1368	1368	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
168	168	1368	1368	4.0	1	1	Chord	4/2	21	1	1	1	1	1622										
169	169	1372	1372	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	1623	ra-									
169	169	1373	1373	0.5	1/4	1/4	Chord	4/2	4	1	1/8	1/8	1	1624	-ggio									
169	169	2747/2	2747/2	0.5	3/8	3/8	Chord	4/2	4	1	1/8	1/8	1	1625	di									
169	169	1374	1374	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1626	Sol									
169	169	1376	1376	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1627										
169	169	1378	1378	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1628	che									
169	169	1372	1372	4.0	0	0	Chord	4/2	21	1	1	1	1	1629										
169	169	1376	1376	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
169	169	1376	1376	4.0	1	1	Chord	4/2	21	1	1	1	1	1630										
170	170	1380	1380	3.0	0	0	Chord	4/2	4	1	3/4	1/2	3/2	1631	nube									
170	170	1383	1383	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1632	a									
170	170	1384	1384	4.0	1	1	Chord	4/2	4	1	1	1	1	1633	dom									
170	170	1380	1380	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	1634										
170	170	1382	1382	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
170	170	1382	1382	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	1635										
170	170	1384	1384	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	4	
170	170	1384	1384	4.0	1	1	Chord	4/2	21	1	1	1	1	1636										
170	170	1386	1386	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/4	#3	
170	170	1387	1387	0.0	7/4	7/4	FiguredBass	4/2	21	1	0											1/4	2	
171	171	1388	1388	4.0	0	0	Chord	4/2	4	1	1	1	1	1637	bri									
171	171	2785/2	2785/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1638	E									
171	171	1393	1393	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1639	dal									
171	171	2787/2	2787/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1640	pro-									
171	171	1394	1394	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1641	-fon-									
171	171	2791/2	2791/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1642	-do									
171	171	1388	1388	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
171	171	1388	1388	4.0	0	0	Chord	4/2	21	1	1	1	1	1643										
171	171	1392	1392	0.0	1	1	FiguredBass	4/2	21	1	0											2	#	
171	171	1392	1392	4.0	1	1	Chord	4/2	21	1	1	1	1	1644										
172	172	1396	1396	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1645	co-									
172	172	1398	1398	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1646	-re									
172	172	2801/2	2801/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1647	con									
172	172	1401	1401	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1648	vn									
172	172	2803/2	2803/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1649	fof-									
172	172	1402	1402	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1650	-pir									
172	172	2807/2	2807/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1651	mor-									
172	172	1396	1396	4.0	0	0	Chord	4/2	21	1	1	1	1	1652										
172	172	1400	1400	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	#	
172	172	1400	1400	4.0	1	1	Chord	4/2	21	1	1	1	1	1653										
172	172	1402	1402	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/4	8	
172	172	1403	1403	0.0	7/4	7/4	FiguredBass	4/2	21	1	0											1/4	7	
173	173	1404	1404	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1654	-ta-									
173	173	1406	1406	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1655	-le									
173	173	2817/2	2817/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1656	Si									
173	173	1409	1409	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1657	fpa									
173	173	2819/2	2819/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1658	uen									
173	173	1410	1410	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1659	tofo									
173	173	2823/2	2823/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1660	o-									
173	173	1404	1404	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
173	173	1404	1404	4.0	0	0	Chord	4/2	21	1	1	1	1	1661										
173	173	1408	1408	0.0	1	1	FiguredBass	4/2	21	1	0											3/2	#	
173	173	1408	1408	4.0	1	1	Chord	4/2	21	1	1	1	1	1662										
174	174	1412	1412	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	1663	-hi-									
174	174	1413	1413	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	1664	-me									
174	174	1414	1414	1.5	1/2	1/2	Chord	4/2	4	1	3/8	1/4	3/2	1665	fof-									
174	174	2831/2	2831/2	0.5	7/8	7/8	Chord	4/2	4	1	1/8	1/8	1	1666	-pinfe									
174	174	1416	1416	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1667	fuo-									
174	174	1418	1418	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1668	-re									
174	174	1412	1412	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	1669										
174	174	1414	1414	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
174	174	1414	1414	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	1670										
174	174	1416	1416	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
174	174	1416	1416	4.0	1	1	Chord	4/2	21	1	1	1	1	1671										
175	175	1421	1421	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	1672	che-									
175	175	1422	1422	1.5	1/2	1/2	Chord	4/2	4	1	3/8	1/4	3/2	1673	-qua-									
175	175	2847/2	2847/2	0.5	7/8	7/8	Chord	4/2	4	1	1/8	1/8	1	1674	-fi									
175	175	1424	1424	1.5	1	1	Chord	4/2	4	1	3/8	1/4	3/2	1675	hauef									
175	175	2851/2	2851/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1676	se									
175	175	1426	1426	1.0	3/2	3/2	Chord	4/2	4	1	1/4	1/4	1	1677	l'a									
175	175	1427	1427	1.0	7/4	7/4	Chord	4/2	4	1	1/4	1/4	1	1678	le									
175	175	1420	1420	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
175	175	1420	1420	8.0	0	0	Chord	4/2	21	1	2	2	1	1679										
176	176	2857/2	2857/2	0.5	1/8	1/8	Chord	4/2	4	1	1/8	1/8	1	1680	giuse									
176	176	1429	1429	0.5	1/4	1/4	Chord	4/2	4	1	1/8	1/8	1	1681	og-									
176	176	2859/2	2859/2	0.5	3/8	3/8	Chord	4/2	4	1	1/8	1/8	1	1682	-ni									
176	176	1430	1430	1.0	1/2	1/2	Chord	4/2	4	1	1/4	1/4	1	1683	Nim-									
176	176	1431	1431	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1684	-fa									
176	176	2865/2	2865/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1685	al									
176	176	1433	1433	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1686	do									
176	176	2867/2	2867/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1687	lo-									
176	176	1434	1434	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1688	-ro									
176	176	1428	1428	4.0	0	0	Chord	4/2	21	1	1	1	1	1689										
176	176	1432	1432	0.0	1	1	FiguredBass	4/2	21	1	0											1	6	
176	176	1432	1432	4.0	1	1	Chord	4/2	21	1	1	1	1	1690										
177	177	1436	1436	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	1691										
177	177	1437	1437	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	1692	so									
177	177	1438	1438	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1693	fuo-									
177	177	1440	1440	3.0	1	1	Chord	4/2	4	1	3/4	1/2	3/2	1694	-no									
177	177	1443	1443	1.0	7/4	7/4	Chord	4/2	4	1	1/4	1/4	1	1695	Et									
177	177	1436	1436	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	1696										
177	177	1438	1438	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/4	11	
177	177	1438	1438	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	1697										
177	177	1439	1439	0.0	3/4	3/4	FiguredBass	4/2	21	1	0											1/4	#	
177	177	1440	1440	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
177	177	1440	1440	4.0	1	1	Chord	4/2	21	1	1	1	1	1698										
178	178	1444	1444	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1699	el									
178	178	1446	1446	0.5	1/2	1/2	Chord	4/2	4	1	1/8	1/8	1	1700										
178	178	2893/2	2893/2	0.5	5/8	5/8	Chord	4/2	4	1	1/8	1/8	1	1701	in									
178	178	1447	1447	0.5	3/4	3/4	Chord	4/2	4	1	1/8	1/8	1	1702	a-									
178	178	2895/2	2895/2	0.5	7/8	7/8	Chord	4/2	4	1	1/8	1/8	1	1703	-bban-									
178	178	1448	1448	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1704	-do-									
178	178	1450	1450	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1705	-no									
178	178	1444	1444	0.0	0	0	FiguredBass	4/2	21	1	0											2	#	
178	178	1444	1444	8.0	0	0	Chord	4/2	21	1	2	2	1	1706										
179	179	2905/2	2905/2	0.5	1/8	1/8	Chord	4/2	4	1	1/8	1/8	1	1707	Tu-									
179	179	1453	1453	0.5	1/4	1/4	Chord	4/2	4	1	1/8	1/8	1	1708	-tta									
179	179	2907/2	2907/2	0.5	3/8	3/8	Chord	4/2	4	1	1/8	1/8	1	1709	laf-									
179	179	1454	1454	0.75	1/2	1/2	Chord	4/2	4	1	3/16	1/8	3/2	1710	-ciof-									
179	179	5819/4	5819/4	0.25	11/16	11/16	Chord	4/2	4	1	1/16	1/16	1	1711	-si									
179	179	1455	1455	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	1712	all'or									
179	179	1456	1456	1.0	1	1	Chord	4/2	4	1	1/4	1/4	1	1713										
179	179	1457	1457	1.0	5/4	5/4	Chord	4/2	4	1	1/4	1/4	1	1714	nell									
179	179	1458	1458	1.5	3/2	3/2	Chord	4/2	4	1	3/8	1/4	3/2	1715	'al-									
179	179	2919/2	2919/2	0.5	15/8	15/8	Chord	4/2	4	1	1/8	1/8	1	1716	-trui									
179	179	1452	1452	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
179	179	1452	1452	4.0	0	0	Chord	4/2	21	1	1	1	1	1717										
179	179	1456	1456	0.0	1	1	FiguredBass	4/2	21	1	0											1/4	#	
179	179	1456	1456	4.0	1	1	Chord	4/2	21	1	1	1	1	1718										
179	179	1457	1457	0.0	5/4	5/4	FiguredBass	4/2	21	1	0											1/4	11	
179	179	1458	1458	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/4	11	
179	179	1459	1459	0.0	7/4	7/4	FiguredBass	4/2	21	1	0											1/4	#	
180	180	1460	1460	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	1719	bra-									
180	180	1462	1462	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	1720	-ccia									
180	180	2929/2	2929/2	0.5	9/8	9/8	Chord	4/2	4	1	1/8	1/8	1	1721	Spargea									
180	180	1465	1465	0.5	5/4	5/4	Chord	4/2	4	1	1/8	1/8	1	1722	il									
180	180	2931/2	2931/2	0.5	11/8	11/8	Chord	4/2	4	1	1/8	1/8	1	1723	bel									
180	180	1466	1466	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1724	vol									
180	180	1460	1460	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
180	180	1460	1460	4.0	0	0	Chord	4/2	21	1	1	1	1	1725										
180	180	1464	1464	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
180	180	1464	1464	4.0	1	1	Chord	4/2	21	1	1	1	1	1726										
181	181	1468	1468	0.5	0	0	Chord	4/2	4	1	1/8	1/8	1	1727										
181	181	2937/2	2937/2	0.5	1/8	1/8	Chord	4/2	4	1	1/8	1/8	1	1728	to,e									
181	181	1469	1469	0.5	1/4	1/4	Chord	4/2	4	1	1/8	1/8	1	1729	le									
181	181	2939/2	2939/2	0.5	3/8	3/8	Chord	4/2	4	1	1/8	1/8	1	1730	do-									
181	181	1470	1470	1.5	1/2	1/2	Chord	4/2	4	1	3/8	1/4	3/2	1731	-ra									
181	181	2943/2	2943/2	0.5	7/8	7/8	Chord	4/2	4	1	1/8	1/8	1	1732	tech-									
181	181	1472	1472	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	1733	-i-									
181	181	1474	1474	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	1734	-ome									
181	181	1468	1468	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	#	
181	181	1468	1468	4.0	0	0	Chord	4/2	21	1	1	1	1	1735										
181	181	1472	1472	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
181	181	1472	1472	4.0	1	1	Chord	4/2	21	1	1	1	1	1736										
182	182	1477	1477	0.5	1/4	1/4	Chord	4/2	4	1	1/8	1/8	1	1737	Vnfu-									
